t,f,Q,R_over_D,abs_residual
0.18000000000000016,0.014391427224631189,0.012400000000000026,0.001991427224631163,0.001991427224631163
0.19499999999999984,0.016955006193023904,0.015099999999999971,0.001855006193023933,0.001855006193023933
0.20999999999999996,0.019514915958310407,0.017799999999999993,0.0017149159583104145,0.0017149159583104145
0.2250000000000001,0.022072078011057077,0.020500000000000015,0.0015720780110570626,0.0015720780110570626
0.2400000000000002,0.02462749667363748,0.023200000000000037,0.0014274966736374448,0.0014274966736374448
0.2549999999999999,0.02718226171654373,0.025899999999999982,0.0012822617165437478,0.0012822617165437478
0.27,0.02973755096944716,0.028600000000000004,0.0011375509694471556,0.0011375509694471556
0.28500000000000014,0.03229463288376205,0.03130000000000002,0.000994632883762031,0.000994632883762031
0.2999999999999998,0.034854868988007714,0.03399999999999996,0.0008548689880077537,0.0008548689880077537
0.31499999999999995,0.037419716159220746,0.03669999999999998,0.0007197161592207638,0.0007197161592207638
0.33000000000000007,0.03999072861291806,0.039400000000000004,0.0005907286129180553,0.0005907286129180553
0.3450000000000002,0.04256955949058315,0.042100000000000026,0.00046955949058312407,0.00046955949058312407
0.3599999999999999,0.045157961897364846,0.044799999999999965,0.0003579618973648807,0.0003579618973648807
0.375,0.047757789213802866,0.0475,0.0002577892138028656,0.0002577892138028656
0.3900000000000001,0.05037099447426056,0.05020000000000002,0.00017099447426053432,0.00017099447426053432
0.4049999999999998,0.05299962857193135,0.05289999999999996,9.962857193138858e-05,9.962857193138858e-05
0.41999999999999993,0.055645837016660496,0.05559999999999998,4.583701666051321e-05,4.583701666051321e-05
0.43500000000000005,0.05831185493864054,0.058300000000000005,1.1854938640531998e-05,1.1854938640531998e-05
0.4500000000000002,0.06100000000000005,0.061000000000000026,2.0816681711721685e-17,2.0816681711721685e-17
0.46499999999999986,0.06371266284961877,0.06369999999999996,1.2662849618802485e-05,1.2662849618802485e-05
0.48,0.06645229473698847,0.06639999999999999,5.229473698847853e-05,5.229473698847853e-05
0.4950000000000001,0.06922139189200593,0.06910000000000001,0.00012139189200592593,0.00012139189200592593
0.5099999999999998,0.07202247628329031,0.07179999999999996,0.00022247628329034874,0.00022247628329034874
0.5249999999999999,0.07485807239254258,0.07449999999999998,0.0003580723925425966,0.0003580723925425966
0.54,0.07773067969161973,0.0772,0.000530679691619726,0.000530679691619726
0.5550000000000002,0.08064274058752523,0.07990000000000003,0.0007427405875252008,0.0007427405875252008
0.5699999999999998,0.08359660371331802,0.08259999999999997,0.000996603713318056,0.000996603713318056
0.585,0.0865944825941361,0.08529999999999999,0.0012944825941361149,0.0012944825941361149
0.6000000000000001,0.08963840990975071,0.08800000000000001,0.0016384099097506988,0.0016384099097506988
0.6150000000000002,0.09273018780864409,0.09070000000000003,0.0020301878086440572,0.0020301878086440572
0.6299999999999999,0.09587133500062898,0.09339999999999997,0.002471335000629016,0.002471335000629016
0.645,0.09906303165846103,0.09609999999999999,0.0029630316584610406,0.0029630316584610406
0.6600000000000001,0.10230606348172831,0.09880000000000001,0.0035060634817283,0.0035060634817283
0.6749999999999998,0.10560076660110475,0.10149999999999997,0.004100766601104783,0.004100766601104783
0.69,0.10894697530490387,0.10419999999999999,0.00474697530490388,0.00474697530490388
0.7050000000000001,0.112343974825088,0.10690000000000001,0.005443974825087988,0.005443974825087988
0.7200000000000002,0.11579046159551994,0.10960000000000002,0.006190461595519919,0.006190461595519919
0.7349999999999999,0.11928451345956276,0.11229999999999997,0.006984513459562788,0.006984513459562788
0.75,0.12282357222797928,0.115,0.007823572227979275,0.007823572227979275
0.7650000000000001,0.1264044407488734,0.11770000000000001,0.008704440748873374,0.008704440748873374
0.7799999999999998,0.13002329623738465,0.12039999999999997,0.009623296237384685,0.009623296237384685
0.7949999999999999,0.1336757210268302,0.12309999999999997,0.010575721026830229,0.010575721026830229
0.81,0.13735675116518933,0.12580000000000002,0.01155675116518931,0.01155675116518931
0.8250000000000002,0.14106094242961437,0.12850000000000003,0.012560942429614336,0.012560942429614336
0.8399999999999999,0.1447824524220987,0.13119999999999998,0.013582452422098712,0.013582452422098712
0.855,0.14851513650917172,0.1339,0.014615136509171733,0.014615136509171733
0.8700000000000001,0.15225265455123974,0.13660000000000003,0.01565265455123971,0.01565265455123971
0.8849999999999998,0.15598858470465715,0.13929999999999998,0.016688584704657172,0.016688584704657172
