shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,16,15.456635336324847,15.461689753867526,15.456635336324766,5.2865589977644146e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,0,15.456635336324847,15.459162733939813,15.459162733939813,0.00016351538093325487
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,1,15.456635336324847,15.459162733939813,15.45663552518422,1.2218660043129157e-08
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,2,15.456635336324847,15.459162733939813,15.456635336340572,1.0173178314828391e-12
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,4,15.456635336324847,15.459162733939813,15.456635336324782,4.2522322373322464e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,8,15.456635336324847,15.459162733939813,15.456635336324782,4.2522322373322464e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,16,15.456635336324847,15.459162733939813,15.456635336324782,4.2522322373322464e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,0,15.456635336324847,15.457899082349122,15.457899082349122,8.176074525773988e-05
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,1,15.456635336324847,15.457899082349122,15.456635383543581,3.05491672569196e-09
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,2,15.456635336324847,15.457899082349122,15.456635336326748,1.2296995929582442e-13
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,4,15.456635336324847,15.457899082349122,15.456635336324775,4.711933019746543e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,8,15.456635336324847,15.457899082349122,15.456635336324775,4.711933019746543e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,16,15.456635336324847,15.457899082349122,15.456635336324775,4.711933019746543e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,0,-0.596145205940274,-0.577145762866356,-0.577145762866356,0.03187049545077024
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,1,-0.596145205940274,-0.577145762866356,-0.5961133462453909,5.3442843397208966e-05
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,2,-0.596145205940274,-0.577145762866356,-0.5961451314874514,1.2489041567709712e-07
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,4,-0.596145205940274,-0.577145762866356,-0.5961452059399505,5.426848797106371e-13
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,8,-0.596145205940274,-0.577145762866356,-0.5961452059402724,2.6072712134347702e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.52587890625e-05,0.5825971579390108,0.002275770148199261,16,-0.596145205940274,-0.577145762866356,-0.5961452059402724,2.6072712134347702e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,0,-0.596145205940274,-0.5866375101620448,-0.5866375101620448,0.015948624065898694
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,1,-0.596145205940274,-0.5866375101620448,-0.5961372223704973,1.3391988557758936e-05
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,2,-0.596145205940274,-0.5866375101620448,-0.5961451966008001,1.5666441276193493e-08
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,4,-0.596145205940274,-0.5866375101620448,-0.5961452059402624,1.9368300442658294e-14
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,8,-0.596145205940274,-0.5866375101620448,-0.5961452059402725,2.4210375553322868e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,16,-0.596145205940274,-0.5866375101620448,-0.5961452059402725,2.4210375553322868e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,0,-0.596145205940274,-0.591389360990595,-0.591389360990595,0.00797766198954459
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,1,-0.596145205940274,-0.591389360990595,-0.5961432077109018,3.3519172045328157e-06
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,2,-0.596145205940274,-0.591389360990595,-0.596145204770779,1.961761889010641e-09
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,4,-0.596145205940274,-0.591389360990595,-0.5961452059402728,2.0485702391273195e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,8,-0.596145205940274,-0.591389360990595,-0.5961452059402731,1.4898692648198688e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,16,-0.596145205940274,-0.591389360990595,-0.5961452059402731,1.4898692648198688e-15
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,0,-0.596145205940274,-0.5937667837618623,-0.5937667837618623,0.003989669219364573
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,1,-0.596145205940274,-0.5937667837618623,-0.5961447060904287,8.384699571709158e-07
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,2,-0.596145205940274,-0.5937667837618623,-0.5961452057939582,2.4543640684497264e-10
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,4,-0.596145205940274,-0.5937667837618623,-0.5961452059402739,1.862336581024836e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,8,-0.596145205940274,-0.5937667837618623,-0.5961452059402739,1.862336581024836e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,16,-0.596145205940274,-0.5937667837618623,-0.5961452059402739,1.862336581024836e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,0,-0.596145205940274,-0.5949558698703142,-0.5949558698703142,0.001995044257856368
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,1,-0.596145205940274,-0.5949558698703142,-0.5961450809412252,2.0967886268787345e-07
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,2,-0.596145205940274,-0.5949558698703142,-0.596145205921976,3.069391412650273e-11
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,4,-0.596145205940274,-0.5949558698703142,-0.5961452059402734,9.31168290512418e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,8,-0.596145205940274,-0.5949558698703142,-0.5961452059402734,9.31168290512418e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,16,-0.596145205940274,-0.5949558698703142,-0.5961452059402734,9.31168290512418e-16
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,0,-0.596145205940274,-0.5955505066532434,-0.5955505066532434,0.0009975745524827368
three_petal_laurent,smooth nonconvex finite Laurent map,2048,32768,0.001,1.4901161193847656e-08,0.5825971579390108,7.11178171312269e-05,1,-0.596145205940274,-0.5955505066532434,-0.5961451746859355,5.24273920836801e-08
