shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
four_lobed_wiggle,smooth_multiscale,2048,pde_poisson,3.903500037267804,33.07104203850031,2048,22528,4.473466952772953e-15,False
four_lobed_wiggle,smooth_multiscale,2048,pde_helmholtz,3.8969579618424177,33.07104203850031,2048,22528,4.368601439145159e-15,False
four_lobed_wiggle,smooth_multiscale,2048,pde_wave,3.939665970392525,33.07104203850031,2048,22528,4.303120535208859e-15,False
four_lobed_wiggle,smooth_multiscale,2048,q_bgk4,32.52999996766448,0.0,22528,22528,2.629610443670372e-15,False
four_lobed_wiggle,smooth_multiscale,2048,pde_batch_all5,19.756916095502675,33.07104203850031,10240,112640,5.698439543253525e-13,False
four_lobed_wiggle,smooth_multiscale,4096,pde_laplace_dtn,8.350083022378385,67.20554200001061,4096,49152,3.5761880089473134e-12,False
four_lobed_wiggle,smooth_multiscale,4096,pde_heat,8.305415976792574,67.20554200001061,4096,49152,5.954635734045134e-14,False
four_lobed_wiggle,smooth_multiscale,4096,pde_poisson,8.507375023327768,67.20554200001061,4096,49152,5.947206160698825e-14,False
four_lobed_wiggle,smooth_multiscale,4096,pde_helmholtz,11.698875110596418,67.20554200001061,4096,49152,5.949982945127085e-14,False
four_lobed_wiggle,smooth_multiscale,4096,pde_wave,9.32729197666049,67.20554200001061,4096,49152,5.963420112697772e-14,False
four_lobed_wiggle,smooth_multiscale,4096,q_bgk4,65.66079100593925,0.0,49152,49152,3.5061472582271623e-16,False
four_lobed_wiggle,smooth_multiscale,4096,pde_batch_all5,46.189041109755635,67.20554200001061,20480,245760,3.5761880089473134e-12,False
asymmetric_limaçon,asymmetric,256,pde_laplace_dtn,0.517625012435019,4.558666027151048,256,2048,2.673171544312095e-14,False
asymmetric_limaçon,asymmetric,256,pde_heat,0.4575829952955246,4.558666027151048,256,2048,6.535229694528463e-15,False
asymmetric_limaçon,asymmetric,256,pde_poisson,0.444167060777545,4.558666027151048,256,2048,6.5567993742798864e-15,False
asymmetric_limaçon,asymmetric,256,pde_helmholtz,0.5092499777674675,4.558666027151048,256,2048,6.5746063977243655e-15,False
asymmetric_limaçon,asymmetric,256,pde_wave,0.4726659972220659,4.558666027151048,256,2048,6.517710887362198e-15,False
asymmetric_limaçon,asymmetric,256,q_bgk4,1.8923330353572965,0.0,2048,2048,1.209124260875689e-13,False
asymmetric_limaçon,asymmetric,256,pde_batch_all5,2.401291043497622,4.558666027151048,1280,10240,2.673171544312095e-14,False
asymmetric_limaçon,asymmetric,512,pde_laplace_dtn,1.024249941110611,8.23458400554955,512,4608,6.941562128580896e-14,False
asymmetric_limaçon,asymmetric,512,pde_heat,0.9677920024842024,8.23458400554955,512,4608,1.2387223989318853e-14,False
asymmetric_limaçon,asymmetric,512,pde_poisson,0.9455829858779907,8.23458400554955,512,4608,1.2282178312589265e-14,False
asymmetric_limaçon,asymmetric,512,pde_helmholtz,0.9411249775439501,8.23458400554955,512,4608,1.2378406212799454e-14,False
asymmetric_limaçon,asymmetric,512,pde_wave,1.0006249649450183,8.23458400554955,512,4608,1.2490605523502077e-14,False
asymmetric_limaçon,asymmetric,512,q_bgk4,3.795791999436915,0.0,4608,4608,1.1881810000060176e-13,False
asymmetric_limaçon,asymmetric,512,pde_batch_all5,4.879374871961772,8.23458400554955,2560,23040,6.941562128580896e-14,False
asymmetric_limaçon,asymmetric,1024,pde_laplace_dtn,1.9605839625000954,17.038417048752308,1024,10240,2.1911191630633652e-13,False
asymmetric_limaçon,asymmetric,1024,pde_heat,1.9054170697927475,17.038417048752308,1024,10240,2.3347882234590553e-14,False
asymmetric_limaçon,asymmetric,1024,pde_poisson,1.8691669683903456,17.038417048752308,1024,10240,2.330766330806144e-14,False
asymmetric_limaçon,asymmetric,1024,pde_helmholtz,1.8809159519150853,17.038417048752308,1024,10240,2.3317520601272852e-14,False
asymmetric_limaçon,asymmetric,1024,pde_wave,1.9011669792234898,17.038417048752308,1024,10240,2.3377741542790605e-14,False
asymmetric_limaçon,asymmetric,1024,q_bgk4,7.389250095002353,0.0,10240,10240,1.0834646956576612e-13,False
asymmetric_limaçon,asymmetric,1024,pde_batch_all5,9.517250931821764,17.038417048752308,5120,51200,2.1911191630633652e-13,False
asymmetric_limaçon,asymmetric,2048,pde_laplace_dtn,4.038749961182475,37.43970801588148,2048,22528,5.750720342743176e-13,False
asymmetric_limaçon,asymmetric,2048,pde_heat,4.034499987028539,37.43970801588148,2048,22528,4.361495888494168e-15,False
asymmetric_limaçon,asymmetric,2048,pde_poisson,3.9022089913487434,37.43970801588148,2048,22528,4.473466952772953e-15,False
asymmetric_limaçon,asymmetric,2048,pde_helmholtz,3.882124903611839,37.43970801588148,2048,22528,4.368601439145159e-15,False
asymmetric_limaçon,asymmetric,2048,pde_wave,3.929041908122599,37.43970801588148,2048,22528,4.303120535208859e-15,False
asymmetric_limaçon,asymmetric,2048,q_bgk4,14.821334043517709,0.0,22528,22528,1.1602566521797893e-13,False
asymmetric_limaçon,asymmetric,2048,pde_batch_all5,19.786625751294196,37.43970801588148,10240,112640,5.750720342743176e-13,False
asymmetric_limaçon,asymmetric,4096,pde_laplace_dtn,8.427542052231729,65.76300004962832,4096,49152,3.5721784573281422e-12,False
asymmetric_limaçon,asymmetric,4096,pde_heat,8.148750057443976,65.76300004962832,4096,49152,5.954635734045134e-14,False
