shape,branch,rank,eigenvalue,log10_eigenvalue,sample_count,requested_lanczos_steps
rational_asymptote_chart,high,1,80677.54444395652,4.90675267126273,256,124
rational_asymptote_chart,high,2,80569.75146650683,4.90617202397803,256,124
rational_asymptote_chart,high,3,80488.2990024017,4.905732749336233,256,124
rational_asymptote_chart,high,4,80409.0377134915,4.905304864774694,256,124
rational_asymptote_chart,high,5,80320.06015120517,4.904824025041566,256,124
rational_asymptote_chart,high,6,80196.41395487462,4.90415494890225,256,124
rational_asymptote_chart,high,7,80049.8050041075,4.903360278344722,256,124
rational_asymptote_chart,high,8,79883.3814494477,4.902456440196586,256,124
rational_asymptote_chart,high,9,79697.42666308516,4.901444298760419,256,124
rational_asymptote_chart,high,10,79491.09589369032,4.900318484369583,256,124
rational_asymptote_chart,high,11,79263.30937384811,4.899072200887355,256,124
rational_asymptote_chart,high,12,79013.34015520493,4.897700421248549,256,124
