operator,n_meridian,n_theta,n_nodes,degree,order,eigenvalue,continuum_target,dtn_target,relative_error_to_continuum,relative_error_to_dtn,relative_residual_to_continuum,batch_apply_ms,dense_matrix_stored
inverse_cube_raw,16,32,512,6,2,5.045356077845289,6.0,6.0,0.15910732035911845,0.15910732035911845,0.21497904440016843,7.456457999069244,False
inverse_cube_raw,16,32,512,6,3,5.022589539931092,6.0,6.0,0.16290174334481802,0.16290174334481802,0.18224485196523896,7.456457999069244,False
inverse_cube_raw,16,32,512,6,4,4.966414260706779,6.0,6.0,0.17226428988220346,0.17226428988220346,0.1800401960727811,7.456457999069244,False
inverse_cube_raw,16,32,512,6,5,4.885229286806883,6.0,6.0,0.1857951188655195,0.1857951188655195,0.18840049243706194,7.456457999069244,False
inverse_cube_raw,16,32,512,6,6,4.780173655476286,6.0,6.0,0.20330439075395232,0.20330439075395232,0.20392223976805784,7.456457999069244,False
inverse_cube_tangent_repaid,16,32,512,1,0,0.98960330527091,1.0,1.0,0.010396694729089995,0.010396694729089995,0.013819318265542795,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,1,1,1.0016994723262647,1.0,1.0,0.0016994723262646616,0.0016994723262646616,0.1331377024817695,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,2,0,1.9572957544280267,2.0,2.0,0.021352122785986638,0.021352122785986638,0.02575027135831027,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,2,1,2.0081234860723254,2.0,2.0,0.0040617430361626905,0.0040617430361626905,0.14663781635375955,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,2,2,1.9889516028538505,2.0,2.0,0.0055241985730747345,0.0055241985730747345,0.031169354835597428,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,3,0,2.901140722414343,3.0,3.0,0.032953092528552386,0.032953092528552386,0.03850426893682762,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,3,1,3.007776370729301,3.0,3.0,0.002592123576433606,0.002592123576433606,0.16079115754920353,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,3,2,2.988859044408454,3.0,3.0,0.0037136518638486806,0.0037136518638486806,0.05087572211198749,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,3,3,2.9676193289825914,3.0,3.0,0.010793557005802867,0.010793557005802867,0.017369423426134036,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,4,0,3.8153688118864397,4.0,4.0,0.04615779702839007,0.04615779702839007,0.05271464355559941,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,4,1,3.9953155365181203,4.0,4.0,0.0011711158704699187,0.0011711158704699187,0.17332481922767695,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,4,2,3.978617064403512,4.0,4.0,0.005345733899121963,0.005345733899121963,0.071106560487164,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,4,3,3.965086891562181,4.0,4.0,0.008728277109454785,0.008728277109454785,0.026673415622906788,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,4,4,3.93090163146586,4.0,4.0,0.017274592133534994,0.017274592133534994,0.01957319506089475,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,5,0,4.694198215308041,5.0,5.0,0.061160356938391836,0.061160356938391836,0.06842696834723712,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,5,1,4.963021364146328,5.0,5.0,0.007395727170734468,0.007395727170734468,0.1843826599933427,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,5,2,4.951874188757735,5.0,5.0,0.009625162248453023,0.009625162248453023,0.0920535496926612,8.273790997918695,False
inverse_cube_tangent_repaid,16,32,512,5,3,4.950469931546997,5.0,5.0,0.009906013690600624,0.009906013690600624,0.03939967985684154,8.273790997918695,False
